tag,active,comment,unit,floating point precision,Type Sub Active,Data Type,Subscription
dbErrors_WaterSystem.MTR_ReturnWaterPump.MotorProtectorTripped,True,,,-1,False,Bool,_Slow
dbErrors_WaterSystem.MTR_ReturnWaterPump.LocalDisconnectOff,True,,,-1,False,Bool,_Slow
dbErrors_WaterSystem.MTR_ReturnWaterPump.ClutchTripped,True,,,-1,False,Bool,_Slow
dbErrors_WaterSystem.MTR_ReturnWaterPump.NoSignalForward,True,,,-1,False,Bool,_Slow
dbErrors_WaterSystem.MTR_ReturnWaterPump.NoSignalReverse,True,,,-1,False,Bool,_Slow
dbErrors_WaterSystem.MTR_ReturnWaterPump.MotorNotStopped,True,,,-1,False,Bool,_Slow
dbErrors_WaterSystem.ANA_SteamValve,True,,,-1,False,udtError_AnalogValve,_Slow
dbErrors_WaterSystem.ANA_SteamValve.InvalidFeedback,True,,,-1,False,Bool,_Slow
dbErrors_WaterSystem.AO_CoolingCoil,True,,,-1,False,udtError_AnalogOutput,_Slow
dbErrors_WaterSystem.AO_CoolingCoil.OutOfRange,True,,,-1,False,Bool,_Slow
dbErrors_WaterSystem.AO_CoolingCoil.ConfigurationError,True,,,-1,False,Bool,_Slow
dbErrors_WaterSystem.PID_WaterTemperature,True,,,-1,False,udtError_PID,_Slow
dbErrors_WaterSystem.PID_WaterTemperature.InputOutOfRange,True,,,-1,False,Bool,_Slow
dbErrors_WaterSystem.PID_WaterTemperature.InputPERInvalid,True,,,-1,False,Bool,_Slow
dbErrors_WaterSystem.PID_WaterTemperature.ValueOscillationFailed,True,,,-1,False,Bool,_Slow
dbErrors_WaterSystem.PID_WaterTemperature.ProcessValueCloseToSetPoint,True,,,-1,False,Bool,_Slow
dbErrors_WaterSystem.PID_WaterTemperature.SetPointChangedDuringTuning,True,,,-1,False,Bool,_Slow
dbErrors_WaterSystem.PID_WaterTemperature.PretuningDuringFineTuning,True,,,-1,False,Bool,_Slow
dbErrors_WaterSystem.PID_WaterTemperature.InvalidOutputValueLimits,True,,,-1,False,Bool,_Slow
dbErrors_WaterSystem.PID_WaterTemperature.InvalidFineTuningParameter,True,,,-1,False,Bool,_Slow
dbErrors_WaterSystem.PID_WaterTemperature.InputInvalidFormat,True,,,-1,False,Bool,_Slow
dbErrors_WaterSystem.PID_WaterTemperature.OutputCalculationError,True,,,-1,False,Bool,_Slow
dbErrors_WaterSystem.PID_WaterTemperature.SamplingTimeError,True,,,-1,False,Bool,_Slow
dbErrors_WaterSystem.PID_WaterTemperature.SetPointInvalidFormat,True,,,-1,False,Bool,_Slow
dbErrors_WaterSystem.PID_WaterTemperature.ManualInvalidFormat,True,,,-1,False,Bool,_Slow
dbErrors_WaterSystem.PID_WaterTemperature.SubstituteOutputInvalidFormat,True,,,-1,False,Bool,_Slow
dbErrors_WaterSystem.PID_WaterTemperature.DisturbanceInvalidFormat,True,,,-1,False,Bool,_Slow
dbErrors_WaterSystem.AI_WaterTemperature,True,,,-1,False,udtError_AnalogInput,_Slow
dbErrors_WaterSystem.AI_WaterTemperature.LowLowAlarm,True,,,-1,False,Bool,_Slow
dbErrors_WaterSystem.AI_WaterTemperature.HighHighAlarm,True,,,-1,False,Bool,_Slow
dbErrors_WaterSystem.AI_WaterTemperature.Invalid,True,,,-1,False,Bool,_Slow
dbErrors_WaterSystem.bMainPumpHighHighPressure,True,,,-1,False,Bool,_Slow
dbErrors_WaterSystem.bMainPumpHighPressure,True,,,-1,False,Bool,_Slow
